t1,0.076,0.076,0.076,0.075,0.077,
t2,0.082,0.090,0.085,0.084,0.083,
t3,0.089,0.089,0.089,0.086,0.087,
t4,0.091,0.093,0.092,0.092,0.095,
t5,0.099,0.096,0.098,0.098,0.102,
t6,0.412,0.417,0.411,0.417,0.419,
t7,1.110,1.148,1.116,1.111,1.272,
t8,8.497,8.610,8.527,8.517,8.492,
t9,372.170,364.100,363.991,364.640,364.259,
t10,11000.836,11030.512,11000.389,10994.275,10995.532,
t11,77604.744,77645.818,77556.000,77578.578,77811.528,
